Date,Season,Home Team,Away Team,FTHG,FTAG,Winner,Points_H,Points_A,xG_H,xG_A,Poss_H,Poss_A
2000-08-19,2000,Charlton,Man City,4,0,Charlton,3,0,1.62,2.79,59.1,40.9
2000-08-19,2000,Chelsea,West Ham,4,2,Chelsea,3,0,3.35,0.92,57.7,42.3
2000-08-19,2000,Coventry,Middlesbrough,1,3,Unknown,0,0,2.7,0.8,57.7,42.3
2000-08-19,2000,Derby,Southampton,2,2,Unknown,0,0,2.3,0.71,52.7,47.3
2000-08-19,2000,Leeds,Everton,2,0,Leeds,3,0,0.97,2.77,56.8,43.2
2000-08-19,2000,Leicester,Aston Villa,0,0,Unknown,0,0,0.97,0.98,47.7,52.3
2000-08-19,2000,Liverpool,Bradford,1,0,Liverpool,3,0,0.67,1.54,53.6,46.4
2000-08-19,2000,Sunderland,Arsenal,1,0,Sunderland,3,0,3.1,1.62,59.8,40.2
2000-08-19,2000,Tottenham,Ipswich,3,1,Tottenham,3,0,2.3,2.0,49.4,50.6
2000-08-20,2000,Man United,Newcastle,2,0,Man United,3,0,2.62,0.68,56.9,43.1
2000-08-21,2000,Arsenal,Liverpool,2,0,Arsenal,3,0,0.56,1.07,52.4,47.6
2000-08-22,2000,Bradford,Chelsea,2,0,Bradford,3,0,3.41,2.83,45.6,54.4
2000-08-22,2000,Ipswich,Man United,1,1,Unknown,0,0,3.0,2.77,56.4,43.6
2000-08-22,2000,Middlesbrough,Tottenham,1,1,Unknown,0,0,1.14,2.45,47.5,52.5
2000-08-23,2000,Everton,Charlton,3,0,Everton,3,0,1.05,0.55,54.5,45.5
2000-08-23,2000,Man City,Sunderland,4,2,Man City,3,0,1.05,1.32,46.3,53.7
2000-08-23,2000,Newcastle,Derby,3,2,Newcastle,3,0,1.41,2.07,59.2,40.8
2000-08-23,2000,Southampton,Coventry,1,2,Unknown,0,0,2.07,1.19,49.4,50.6
2000-08-23,2000,West Ham,Leicester,0,1,Unknown,0,0,1.8,2.77,48.4,51.6
2000-08-26,2000,Arsenal,Charlton,5,3,Arsenal,3,0,1.37,2.08,46.9,53.1
2000-08-26,2000,Bradford,Leicester,0,0,Unknown,0,0,2.34,0.68,59.2,40.8
2000-08-26,2000,Everton,Derby,2,2,Unknown,0,0,0.92,2.77,55.7,44.3
2000-08-26,2000,Ipswich,Sunderland,1,0,Ipswich,3,0,1.38,2.89,56.1,43.9
2000-08-26,2000,Man City,Coventry,1,2,Unknown,0,0,1.6,0.69,52.5,47.5
2000-08-26,2000,Middlesbrough,Leeds,1,2,Unknown,0,0,1.87,1.83,52.1,47.9
2000-08-26,2000,Newcastle,Tottenham,2,0,Newcastle,3,0,2.86,1.26,46.7,53.3
2000-08-26,2000,Southampton,Liverpool,3,3,Unknown,0,0,1.1,1.48,53.4,46.6
2000-08-26,2000,West Ham,Man United,2,2,Unknown,0,0,2.04,0.95,48.7,51.3
2000-08-27,2000,Aston Villa,Chelsea,1,1,Unknown,0,0,2.28,1.95,59.7,40.3
2000-09-05,2000,Leeds,Man City,1,2,Unknown,0,0,0.64,2.89,56.9,43.1
2000-09-05,2000,Man United,Bradford,6,0,Man United,3,0,2.32,1.76,51.2,48.8
2000-09-05,2000,Sunderland,West Ham,1,1,Unknown,0,0,1.01,0.71,47.3,52.7
2000-09-05,2000,Tottenham,Everton,3,2,Tottenham,3,0,0.7,2.05,56.8,43.2
2000-09-06,2000,Charlton,Southampton,1,1,Unknown,0,0,3.35,1.35,46.8,53.2
2000-09-06,2000,Chelsea,Arsenal,2,2,Unknown,0,0,3.4,2.64,47.8,52.2
2000-09-06,2000,Coventry,Newcastle,0,2,Unknown,0,0,2.93,1.59,48.2,51.8
2000-09-06,2000,Derby,Middlesbrough,3,3,Unknown,0,0,1.41,0.98,53.4,46.6
2000-09-06,2000,Leicester,Ipswich,2,1,Leicester,3,0,0.79,0.98,56.8,43.2
2000-09-06,2000,Liverpool,Aston Villa,3,1,Liverpool,3,0,2.55,2.42,49.7,50.3
2000-09-09,2000,Bradford,Arsenal,1,1,Unknown,0,0,1.82,1.16,46.3,53.7
2000-09-09,2000,Coventry,Leeds,0,0,Unknown,0,0,0.87,2.42,52.0,48.0
2000-09-09,2000,Ipswich,Aston Villa,1,2,Unknown,0,0,1.99,1.01,56.2,43.8
2000-09-09,2000,Leicester,Southampton,1,0,Leicester,3,0,0.6,1.3,48.3,51.7
2000-09-09,2000,Liverpool,Man City,3,2,Liverpool,3,0,3.23,1.66,48.3,51.7
2000-09-09,2000,Man United,Sunderland,3,0,Man United,3,0,1.28,2.86,59.2,40.8
2000-09-09,2000,Middlesbrough,Everton,1,2,Unknown,0,0,2.49,2.83,59.3,40.7
2000-09-09,2000,Newcastle,Chelsea,0,0,Unknown,0,0,1.44,1.02,59.9,40.1
2000-09-10,2000,Derby,Charlton,2,2,Unknown,0,0,2.06,1.4,57.1,42.9
2000-09-11,2000,Tottenham,West Ham,1,0,Tottenham,3,0,2.14,0.87,47.8,52.2
2000-09-16,2000,Arsenal,Coventry,2,1,Arsenal,3,0,1.05,1.77,48.2,51.8
2000-09-16,2000,Aston Villa,Bradford,2,0,Aston Villa,3,0,3.41,1.65,50.1,49.9
2000-09-16,2000,Charlton,Tottenham,1,0,Charlton,3,0,2.83,2.75,49.8,50.2
2000-09-16,2000,Everton,Man United,1,3,Unknown,0,0,3.32,2.83,59.3,40.7
2000-09-16,2000,Leeds,Ipswich,1,2,Unknown,0,0,3.18,1.46,56.8,43.2
2000-09-16,2000,Southampton,Newcastle,2,0,Southampton,3,0,2.29,1.73,55.9,44.1
