ProductID,ProductName,Category,Supplier,UnitPrice,Stock
100,Product_100,Clothing,"Wolf, Rodriguez and Green",61.73,165
101,Product_101,Clothing,"Peck, Richard and Johnson",472.57,96
102,Product_102,Clothing,"Matthews, Miranda and Thornton",332.76,195
103,Product_103,Clothing,"Anderson, Crane and Mclean",56.86,56
104,Product_104,Electronics,"Miller, Cook and Schmidt",231.47,85
105,Product_105,Electronics,Wright-Williams,372.33,137
106,Product_106,Clothing,Wu-Ryan,306.97,177
107,Product_107,Furniture,Jones and Sons,403.76,145
108,Product_108,Clothing,Morris LLC,472.48,143
109,Product_109,Clothing,Williams PLC,497.36,91
110,Product_110,Furniture,"Clarke, Johnson and Miller",410.22,161
111,Product_111,Electronics,King-Anthony,491.12,29
112,Product_112,Groceries,Craig Inc,83.86,134
113,Product_113,Furniture,"Romero, White and Moore",449.34,44
114,Product_114,Groceries,Garcia-Johnson,178.0,171
115,Product_115,Furniture,"Smith, Maddox and Kerr",480.33,35
116,Product_116,Furniture,"Guerrero, Dillon and Ward",305.73,19
117,Product_117,Furniture,"Ellis, Roach and Martinez",397.87,53
118,Product_118,Clothing,Scott LLC,166.2,187
119,Product_119,Groceries,Moon-Gonzalez,172.35,50
120,Product_120,Furniture,Williams-Hess,135.76,162
121,Product_121,Electronics,Bond-Turner,229.5,187
122,Product_122,Electronics,Estrada and Sons,160.57,109
123,Product_123,Electronics,Rowe-Moore,61.82,174
124,Product_124,Clothing,Thomas-Butler,149.54,89
125,Product_125,Furniture,"Shaffer, Jones and Doyle",291.14,195
126,Product_126,Groceries,Reyes-Garner,316.3,12
127,Product_127,Clothing,Vasquez and Sons,77.68,40
128,Product_128,Clothing,Collins-Jones,58.25,145
129,Product_129,Furniture,"Baker, Smith and Stone",27.05,132
130,Product_130,Clothing,Baker Inc,332.79,144
131,Product_131,Electronics,Mendez-Jackson,138.2,117
132,Product_132,Electronics,Stewart Group,56.76,178
133,Product_133,Electronics,Dudley Ltd,26.26,27
134,Product_134,Groceries,Hale and Sons,90.96,186
135,Product_135,Electronics,"Gutierrez, Johns and Harris",272.58,75
136,Product_136,Electronics,Johnson PLC,364.66,172
137,Product_137,Groceries,Burgess-Johnson,486.37,170
138,Product_138,Electronics,Howard-Robinson,218.23,165
139,Product_139,Clothing,Haynes LLC,80.99,79
140,Product_140,Clothing,"Smith, King and Werner",138.9,63
141,Product_141,Electronics,Lopez Group,187.64,182
142,Product_142,Groceries,Kemp-Bishop,147.56,120
143,Product_143,Clothing,Romero and Sons,369.5,135
144,Product_144,Electronics,"Hensley, Bailey and Bishop",358.43,41
145,Product_145,Furniture,"Taylor, Holmes and Robinson",211.9,62
146,Product_146,Groceries,Duarte-Baker,284.52,39
147,Product_147,Groceries,"Odom, Smith and Lee",67.07,67
148,Product_148,Clothing,"Morris, Roberts and Miller",111.05,135
